"","Site","kelp.year","NPP_dry_per.year","sd","APRIL_BIOMASS","KELP_GROWTH","KELP_RECRUITS_M2","AREA_TOTAL","URCHIN_GRAZING_AVE","l_lagged","LARGE_WAVES_MAX","NITRATE_THRESHOLD_RECRUIT","SAND_COVER","TEMP_THRESHOLD_DAY","PLANT_DENSITY_M2","PLANT_SIZE","TEMP_THRESHOLD_DAY_annual","NITRATE_THRESHOLD_ANNUAL"
"1","ABUR",2003,1.0642031141,0.0838887495025639,0.1330385937,0.0291184718,0.0145833333333333,480,0,0.0502056935,1.41,15,100,0,0.5875,28.8757417929293,0,59
"2","ABUR",2004,0.3938134582,0.107328721772256,0.001993056,0.0325247453,0.0444444444444444,480,0,0.04016910955,1.315,26,76.25,0,1.00416666666667,8.4695722001319,8,95
"3","ABUR",2005,0.575338408,0.076583571139882,0.0449707786,0.031121700625,0.0618055555555556,480,0.00511296821875225,0.0289849634666667,1.52,19,53.75,0,1.68333333333333,12.2801679457001,0,39
"4","ABUR",2006,0.1731493569,0.0310650629965295,0.0497412708,0.02735318805,0.00763888888888889,480,0.00511296821875225,0.034254017475,1.565,25,100,0,0.354166666666667,13.5374629269366,0,89
"5","ABUR",2007,0.668429152,0.139794414833074,0.007530334,0.039803561525,0.0416666666666667,480,0,0.03885082825,1.32,23,56.25,0,1.06041666666667,6.26483976028755,0,35
"6","ABUR",2008,1.4623189388,0.286134540075185,0.0328658226,0.038057234575,0.00208333333333333,480,0,0.05594972535,2.1175,37,81.25,0,0.56875,22.653267700303,0,66
"7","ABUR",2009,0.1639220184,0.0487567052362767,0.0605330002,NA,0.00347222222222222,480,0,0.05900400765,1.08,0,100,0,0.177083333333333,25.8680104617605,0,60
"8","ABUR",2010,0.1359306868,0.0258862990070434,0,0.02206837505,0.0111111111111111,480,0,NA,1.8425,1,78.75,0,0.229166666666667,13.8072108843537,0,16
"9","ABUR",2011,0.3706660787,0.0774661961937671,0.0049914021,0.030334071525,0.00902777777777778,480,0,0.038743331625,1.1975,19,48.75,0,0.372916666666667,11.6325337140065,0,29
"10","ABUR",2012,1.9579506568,0.123388485816947,0.1062400251,0.029156065325,0.0236111111111111,480,0,0.023231115775,1.3225,20,68.75,0,0.570833333333333,32.3484495552607,0,84
"11","ABUR",2013,2.0367620035,0.111899200641078,0.2850404583,0.024859607125,0.00694444444444444,480,0,0.0259719463,1.39,26,63.75,0,0.641666666666667,56.8666017220328,0,75
"12","ABUR",2014,0.6001679833,0.0765198573979853,0.0101253255,0.03479858265,0.100694444444444,480,0,0.05750941425,1.4075,62,50,6,1.825,14.2879604709108,33,235
"13","ABUR",2015,0.7609329643,0.16130315132367,0.0423170423,0.0290020558,0.147222222222222,480,0,0.0498529341,1.4775,46,33.75,17,2.05833333333333,9.40191507643368,76,160
"14","ABUR",2016,0.2679312726,0.0687546495607656,0,NA,0.0229166666666667,480,0,0.0647451354333333,1.59,46,55,0,0.435416666666667,5.04169910670664,1,110
"15","ABUR",2017,0.2341760918,0.0956671348856954,0,NA,0.0118055555555556,480,0,0.04698322285,1.64,43,100,0,0.333333333333333,4.69054021317829,1,119
"16","ABUR",2018,0.8342245257,0.198555700247511,0.1270205993,0.03772646555,0.0201388888888889,480,0,0.032181531125,1.15,63,85,14,0.83125,16.0007851810905,21,167
"17","ABUR",2019,0.1535390049,0.0120675862913747,0.0003193747,0.0439893503,0.1,480,0,0.057516487,1.31,22,75,0,0.935416666666667,4.12387341079104,2,117
"18","ABUR",2021,0.1210275128,0.0108358650849054,0.0071009927,0.04480084345,0.0201388888888889,480,0,0.03220954385,1.4225,34,72.5,0,0.160416666666667,19.522542211329,0,44
"19","ABUR",2022,0.0930292545,0.0171095459810162,0.005566359,NA,0.00763888888888889,480,0,0.055234687925,1.225,27,75,0,0.108333333333333,19.4756944444444,5,78
"20","ABUR",2023,0.0072783919752,0.00158984796911528,0.0014450863,0.041518475475,0,480,0,NA,1.665,36,60,0,0.0145833333333333,7.86666666666667,3,145
"21","AQUE",2003,6.2524732505,0.0662175443505423,0.4418550824,0.032547475875,0.143333333333333,200,0.0329390362276457,0.0343075106,1.405,NA,0,NA,3.335,15.8245605550954,NA,NA
"22","AQUE",2004,4.489774745,0.282817684548764,0.2605232834,0.03428822865,0.178333333333333,200,0.0494085543414685,0.047812413375,1.34,60,0,0,5.215,12.8087414060711,9,200
"23","AQUE",2005,4.2723242136,0.358150931555722,0.1950631021,0.0401548743,0.005,200,0.116068890395748,0.0339567916333333,1.67,52,3.75,0,2.17,19.8173903945622,0,150
"24","AQUE",2006,4.3985705198,0.695564240150202,0.044208329,0.0338739726,0.34,200,0.0995993722819256,0.070318997025,1.52,65,0,5,9.175,10.45384346004,5,168
"25","AQUE",2007,4.6320000889,0.301969169792348,0.815106625,0.035059061875,0.04,200,0.121964122213489,0.02846346185,1.145,73,8.75,0,6.87,11.5286910546689,0,108
"26","AQUE",2008,5.1946294273,0.433907526652267,0.1305860896,0.031920191575,0.18,200,0.586588033655059,0.052320314375,2.11,68,0,1,6.285,9.22919426604302,2,157
"27","AQUE",2009,3.5895983671,0.465317441287114,0.5347077626,0.039024646125,0.005,200,0.959491718455244,0.0294036577,1.006,61,0,0,3.405,15.7832001862151,1,169
"28","AQUE",2010,1.0376050326,0.230533389644938,0.0272423115,0.060387465325,0.141666666666667,200,1.74550613408848,0.069248340225,1.7,38,0,0,3.675,6.49981353932735,0,87
"29","AQUE",2011,0,0,0,NA,0,200,3.17680846793843,0.124839129,1.305,64,0,0,0.01,7.5,0,125
"30","AQUE",2012,2.5530194392,0.587515768194761,0,NA,0.275,200,4.8043303300261,NA,1.165,72,0,0,9.145,3.36435095495081,0,168
"31","AQUE",2013,4.3879685724,0.320316662919624,0.5209022317,0.0458336375,0.146666666666667,200,4.58316106680168,0.028878835025,1.1775,95,0,1,9.71,9.08449209219406,1,218
"32","AQUE",2014,0.0379496637,0.0157999950129266,0.0105000233,NA,0,200,4.0442416656409,0.105037702975,1.395,92,0,11,0.64,12.6126885536823,36,288
"33","AQUE",2015,0.717099296,0.193617410252439,0,0.057723254225,0.243333333333333,200,2.61173413807765,NA,1.545,91,5,24,3.245,2.73770683555865,81,263
"34","AQUE",2016,2.4775513438,0.330975295671162,0.2061239221,0.03785277045,0.0116666666666667,200,0.440038317191408,0.035527940275,1.585,85,27.5,1,2.81,13.7109637801753,2,190
"35","AQUE",2017,1.0127816741,0.0842318509618565,0.0215445567,0.03233780355,0.0666666666666667,200,0.385724989126115,0.0612685828,1.7525,84,37.5,3,1.68,8.23036973445366,8,230
"36","AQUE",2018,1.33177285,0.114818169092257,0.1912058661,0.0371357482,0.01,200,0.723061653482731,0.020262294125,1.1925,84,30,24,1.695,14.632884655303,35,232
"37","AQUE",2019,1.9102939479,0.269713302897177,0.0323885565,0.043449984775,0.291666666666667,200,0.725612064340317,0.047744450875,1.735,83,37.5,1,4.23,8.87210571376304,8,230
"38","AQUE",2021,1.0843056829,0.170705165199698,0.0150015757,0.0509860718,0.211666666666667,200,0.795348413929809,0.0600749104,1.6475,83,27.5,0,2.895,6.04392488298592,0,163
"39","AQUE",2022,0.9441453822,0.141709401608784,0.0415788664,0.038043322525,0.0266666666666667,200,1.20449532200378,0.04014523495,1.285,76,28.75,0,1.025,15.4884465322546,9,158
"40","AQUE",2023,0.0002289005685,0.00011445028425,0,NA,0,200,1.28486164992721,0.1567674056,1.79,73,10,1,0.01,4,2,208
"41","MOHK",2003,4.6343135034,0.459801848250483,0.1263429216,0.03279273985,0.525,200,3.96809476441401,0.0555788795,1.5325,27,0,1,7.895,10.4985780611967,1,82
"42","MOHK",2004,4.8787215829,0.294565101845125,0.2106634819,0.042880902375,0.431666666666667,200,1.49333111461061,0.0427753566666667,1.36666666666667,43,0,0,10.94,8.61805549663969,12,129
"43","MOHK",2005,2.7455938947,0.39655146038106,0.2219094579,0.031145342075,0.131666666666667,200,1.46727230608749,0.0545736823333333,1.53,29,0,0,4.355,10.9672331099618,0,64
"44","MOHK",2006,5.9217937794,1.20237551856643,0.0129096944,0.0398165265,0.44,200,1.50592430724983,0.0466023479,1.6075,38,0,1,11.94,5.86953432524682,1,112
"45","MOHK",2007,6.7146304228,1.07519591074445,1.0772407798,0.038110248625,0.00833333333333333,200,2.25945393198094,0.0434729894,1.385,48,0,0,6.7,15.5155938695048,0,68
"46","MOHK",2008,7.6303511087,1.0928540288463,0.1004141379,0.039865670775,0.513333333333333,200,3.55729584773829,0.074309869,2.1625,51,6.25,7,10.31,8.95210653000677,9,101
"47","MOHK",2009,6.9132853784,1.67865313021764,0.9155513838,0.041497066075,0.00833333333333333,200,4.43441875384133,0.0350255796,1.185,8,2.5,0,6.955,15.01163104595,1,82
"48","MOHK",2010,3.9403021817,0.826107274095044,0.0148906192,0.03888265785,0.461666666666667,200,4.69927887978626,0.068412269175,1.9,13,2.5,0,8.08,6.74673260197785,0,44
"49","MOHK",2011,8.6979707371,0.826375885379471,0.9223506961,0.031501967125,0.005,200,5.37391319327658,0.033884059775,1.255,38,0,0,6.58,20.9024023874853,0,68
"50","MOHK",2012,3.4024104326,0.295456756515061,0.437738779,0.031519943875,0.00166666666666667,200,5.11030711207874,0.031133738,1.3525,33,0,0,2.725,25.5059953675057,4,103
"51","MOHK",2013,2.203833816,0.119210317526884,0.2090977786,0.025267323275,0.135,200,5.09189351789272,0.03150789615,1.425,61,0,0,3.075,15.7730076586844,0,128
"52","MOHK",2014,3.8469889805,0.449180850697269,0.0846869564,0.031817542425,0.26,200,5.35035471389472,0.03545546065,1.445,81,1.25,21,9.335,9.7912916680344,55,261
"53","MOHK",2015,3.6053599372,0.841559470396706,0.3554868168,0.029811612825,0.113333333333333,200,2.7250212550987,0.036399469775,1.5375,66,0,24,6.775,13.3814119486276,88,193
"54","MOHK",2016,3.8337425485,0.849714216391559,0.0044567377,0.04394066015,0.396666666666667,200,0.563951878774931,0.0649636205,1.65,NA,0,NA,7.98,5.17181408129056,NA,NA
"55","MOHK",2017,5.5634148673,0.414132054026049,0.2572839225,0.03378329605,0.015,200,0.624704417585955,0.05219483625,1.715,NA,0,NA,5.82,16.691616761144,NA,NA
"56","MOHK",2018,2.7522461299,0.587369207303286,0.4207514972,0.04591001335,0.005,200,1.95823328377498,0.036562607275,1.2425,74,0,24,2.37,20.4419710724979,45,177
"57","MOHK",2019,5.4215797275,0.917915992777112,0.0061831286,0.0343511457,1.40833333333333,200,2.35416762651253,0.08314475765,1.3825,43,0,0,24.585,5.31926967332319,10,136
"58","MOHK",2021,2.0684841396,0.173967162409563,0.1662883976,0.041746511725,0.0783333333333333,200,0.838517893573812,0.033400475325,1.515,52,0,0,2.805,14.1555731410374,0,69
"59","MOHK",2022,1.417863926,0.30991731981592,0.0083909996,0.0471699023,0.19,200,0.65474243933855,0.10495610045,1.28,38,0,0,4.915,5.5919749624031,15,91
"60","MOHK",2023,3.6273378681,0.685826670005722,0.0257648077,0.044771805525,0.19,200,0.757791327127746,0.0462446348,1.7225,48,0,5,7.005,5.67240239542518,9,170
