YEAR,season,SITE,PLNT_DNS,FRND_DNS,DRY_WT,Dry_CAN_WT,Dry_WC_wt,Dry_SUB_wt,N_blade,C_blade,C_WT,N_WT,elapsed,g_bar_dry,g_barC,g_barN,dry_prod_per_day,C_prod_per_day,N_prod_per_day,f,p,d,c,b,l,dry_wt_lost_as_fronds,dry_wt_lost_as_plants,dry_wt_lost_as_dissolved,dry_wt_lost_as_cut_fronds,dry_wt_lost_as_blades,C_lost_as_fronds,C_lost_as_plants,C_lost_as_dissolved,C_lost_as_cut_fronds,C_lost_as_blades,N_lost_as_fronds,N_lost_as_plants,N_lost_as_dissolved,N_lost_as_cut_fronds,N_lost_as_blades,Mean_TEMP,mean_ambient_N,sfc_par,Subsfc_par,Bottom_par,dry_wt_stD,dry_can_wt_stD,dry_wc_wt_stD,dry_sub_wt_stD,c_blade_stD,n_blade_stD,C_wt_stD,N_wt_stD,plnt_dns_stD,frnd_dns_stD,g_bar_dry_stD,dry_prod_per_day_stD,g_barC_stD,C_prod_per_day_stD,g_barN_stD,N_prod_per_day_stD,f_stD,p_stD,d_stD,c_stD,b_stD,l_stD,dry_wt_lost_as_fronds_stD,dry_wt_lost_as_plants_stD,dry_wt_lost_as_dissolved_stD,dry_wt_lost_as_cut_fronds_stD,dry_wt_lost_as_blades_stD,C_lost_as_fronds_stD,C_lost_as_plants_stD,C_lost_as_dissolved_stD,C_lost_as_cut_fronds_stD,C_lost_as_blades_stD,N_lost_as_fronds_stD,N_lost_as_plants_stD,N_lost_as_dissolved_stD,N_lost_as_cut_fronds_stD,N_lost_as_blades_stD
2002,3-Summer,ABUR,0.2163082437,7.8825268817,1.1675023138,0.6649323626,0.3462628913,0.1563070599,2.5596236559,31.056451613,0.3416123476,0.0247423455,93,0.0270335604,0.0257527705,0.0266923283,0.0310036119,0.0087653632,0.0006475405,0.0093012458,0,0.0034384636,1.5607539E-6,0.0127051869,0.0254464571,0.0106452441,0,0.0039042527,2.0235518E-6,0.0144130746,0.0031742236,0,0.0011675498,5.42495E-7,0.0043149013,0.0002263895,0,0.000082402,4.4204119E-8,0.0003041704,14.879378869,1.0074258336,776.02600066,173.27440919,35.628893702,0.0960966773,0.058373518,0.0283698935,0.0121588394,1.1299776964,0.214280743,0.0305364272,0.0029387195,0.0119650794,0.5306651882,0.0023925803,0.0037836054,0.0025305378,0.0011807585,0.0028756925,0.0001030498,0.0016078107,0,0.0001552578,4.9992514E-7,0.000613796,0.001743614,0.0020415839,0,0.0003607127,6.7532907E-7,0.0013642762,0.0006271991,0,0.0000980465,1.8133424E-7,0.0004287356,0.0000471918,0,9.909552E-6,1.5513971E-8,0.0000380862
2002,4-Autumn,ABUR,0.1284490741,3.9116435185,0.564532715,0.3084303058,0.1661344333,0.0899679758,2.6193888889,27.346111111,0.1437431185,0.0125306321,90,0.0255374211,0.0247822907,0.0241415157,0.0184622583,0.0046161344,0.0004019404,0.0197686291,0.0081875209,0.0033322604,0.000130863,0.0122594528,0.0436787262,0.0135686613,0.0038935861,0.0024841421,0.0001023966,0.0088961027,0.0035067125,0.0009929358,0.0006479796,0.0000261434,0.0023197715,0.0003014447,0.000085493,0.0000548071,2.3303969E-6,0.0001960127,15.139479062,0.8363069998,582.94286977,140.03660137,35.711269644,0.053790694,0.0316387579,0.0155547543,0.0084434861,1.0160339235,0.2414242534,0.0149433005,0.0018208092,0.0081538922,0.3155448822,0.0051734466,0.0038866488,0.005280661,0.0010202822,0.0055198798,0.0000990281,0.0040324155,0.0032986625,0.0001690044,0.000048171,0.0005763209,0.005221465,0.0032265475,0.0021294449,0.0002816853,0.0000368646,0.0009349523,0.0008376099,0.00054037,0.0000659993,9.3882253E-6,0.0002565827,0.0000787027,0.0000491082,8.3260246E-6,8.9966624E-7,0.0000281083
2003,1-Winter,ABUR,0.0168539326,0.8649578652,0.1278389385,0.0651635973,0.0403925122,0.0222828289,2.2664606742,28.784606742,0.035791065,0.0023090364,89,0.0462644369,0.047758662,0.0466633427,0.0065889508,0.0018624755,0.0001223389,0.0211669305,0.0129074427,0.0030388298,0,0.0123225357,0.0494357388,0.0033736065,0.002299588,0.0004596762,0,0.0018597998,0.0009207179,0.000598583,0.0001244972,0,0.0005035131,0.0000624536,0.0000434894,8.3825431E-6,0,0.0000338438,14.470369491,1.9528203732,585.07541616,122.1012421,16.727251815,0.0193790838,0.0110211271,0.0058952323,0.0034168566,1.0584326033,0.1802525933,0.0056643141,0.0003882291,0.0013952507,0.1069419821,0.0061723065,0.0014462072,0.0061864403,0.0004047899,0.006365865,0.0000288707,0.0032852155,0.0044101067,0.0001451497,0,0.0005507645,0.0055292397,0.0006614091,0.0008866597,0.0000625112,0,0.0002476466,0.0001826509,0.0002306316,0.0000162809,0,0.0000691028,0.0000130833,0.0000173974,1.282151E-6,0,5.1398455E-6
2003,2-Spring,ABUR,0.028718638,0.8546818996,0.0974433811,0.0410815101,0.035515585,0.020846286,3.4437634409,33.203924731,0.0301247687,0.002644341,93,0.0333605313,0.0347349034,0.0355074203,0.0039302967,0.0012164255,0.0001043684,0.0163079372,0.0087178518,0.0030499627,0,0.0119477461,0.0400234977,0.0021772757,0.0010229439,0.0003465638,0,0.0013459748,0.0006468868,0.0003064789,0.0001044673,0,0.0004074569,0.0000492716,0.0000245948,8.5705108E-6,0,0.0000333986,12.880689972,5.4910958375,800.47739423,168.17879171,26.070924659,0.0130496007,0.0062676549,0.0051615597,0.0025919319,1.245117513,0.3159831956,0.0041525405,0.0004492507,0.0019034768,0.0933595607,0.0054952818,0.000822812,0.0055601597,0.0002520015,0.0059083159,0.0000226279,0.0030596096,0.0035359139,0.000151491,0,0.0005288736,0.0047590022,0.0005492477,0.0004344258,0.0000494561,0,0.0001827486,0.0001631573,0.0001289967,0.0000141416,0,0.000056451,0.0000124799,0.0000109511,1.4246947E-6,0,5.4383928E-6
2003,3-Summer,ABUR,0.076859319,0.9603270609,0.08558898,0.0299259115,0.0291582191,0.0265048494,2.8396236559,35.355967742,0.0287315953,0.001866801,93,0.028145951,0.0287014054,0.0285528118,0.0024875223,0.0008474798,0.0000524142,0.0106156209,0.0045447642,0.00255418,0,0.0111406944,0.0288552595,0.0009238141,0.0004187752,0.0002189569,0,0.0009535243,0.0003053664,0.0001406044,0.000072345,0,0.0003154553,0.000019758,9.1393433E-6,4.7155665E-6,0,0.0000207191,15.113338895,1.076188741,774.35819842,173.6484713,35.981504118,0.0074861413,0.0038728881,0.0025440688,0.0021003868,1.2244474596,0.2489864197,0.0027006483,0.0002322109,0.0035097832,0.0558024541,0.0036120642,0.0003601775,0.0036479148,0.0001246481,0.0039905579,9.7862103E-6,0.0016765912,0.0021939632,0.0001308218,0,0.0004673366,0.0028255927,0.0001748843,0.0002119696,0.0000261095,0,0.0001034813,0.0000585157,0.0000708606,8.2601493E-6,0,0.0000357009,4.0091248E-6,4.6254459E-6,6.6256603E-7,0,2.692428E-6
2003,4-Autumn,ABUR,0.0735416667,1.0633796296,0.0927589517,0.0278449423,0.0328496647,0.0320643447,2.6772222222,29.936333333,0.0262209248,0.0020459026,90,0.0353950554,0.032420125,0.0362294831,0.0032950076,0.0008924975,0.0000756018,0.0149646732,0.0059659965,0.0022496212,0,0.010543731,0.0337240219,0.001407005,0.0005631881,0.0002109896,0,0.0009885024,0.0004225942,0.0001682602,0.0000631731,0,0.0002973521,0.0000305172,0.000012709,4.6677884E-6,0,0.0000218069,15.683874868,0.8732621092,583.86062574,139.81722053,35.515804516,0.0091120406,0.0035726625,0.003220546,0.0029745223,1.1545454985,0.2308585469,0.0027372925,0.0002640311,0.0040157235,0.0853018765,0.0044008477,0.0005123919,0.0043966535,0.0001518862,0.0047569262,0.0000138968,0.0029744374,0.0026106331,0.0001174337,0,0.0004203374,0.0038963306,0.0003037624,0.0002515176,0.000022649,0,0.0001016416,0.0000950186,0.0000755649,6.4315113E-6,0,0.0000327473,6.6492901E-6,5.6228844E-6,6.164319E-7,0,2.8014312E-6
2004,1-Winter,ABUR,0.0285648148,0.4771296296,0.0504578792,0.0204856753,0.0185371529,0.011435051,2.7438333333,26.735055556,0.0131551424,0.0012386178,90,0.0195676017,0.0193887571,0.0184322739,0.0019185938,0.0005020763,0.0000466683,0.0139468954,0.0151127008,0.0027887444,0,0.011112614,0.0429609546,0.0009942315,0.0010079881,0.0001769214,0,0.0007471252,0.0002622784,0.0002656679,0.0000466734,0,0.0001971734,0.000025239,0.000025269,4.4684884E-6,0,0.0000189336,13.502658722,2.1580109947,584.69574158,122.02229408,16.645191933,0.0073062661,0.0040650002,0.002413116,0.0013816786,0.9339730169,0.2296195698,0.0020299647,0.0002279853,0.0019178666,0.0503914131,0.0052012203,0.0005576367,0.0052804597,0.0001509459,0.0055645077,0.0000155263,0.0021050475,0.0051128899,0.0001492401,0,0.0004400269,0.0055185591,0.0002191951,0.0003938827,0.0000276108,0,0.0001041393,0.0000585567,0.0001048297,7.1179862E-6,0,0.0000289533,6.1336696E-6,0.0000103095,8.2117902E-7,0,3.2351505E-6
2004,2-Spring,ABUR,0.0152777778,0.0478718638,0.0020920537,0.0002142793,0.000267422,0.0016103525,2.7105913978,26.885860215,0.0005325433,0.0000442756,93,0.0223828136,0.0236659815,0.0253288542,0.000048294,0.0000129655,1.1099907E-6,0.0134417663,0.0020876991,0.0026629181,0,0.0073820937,0.0255744772,0.0000429692,3.7363105E-6,8.4911843E-6,0,0.0000265861,0.0000105912,9.3211784E-7,2.0866728E-6,0,6.497095E-6,8.6654038E-7,7.8825984E-8,1.698911E-7,0,5.2512322E-7,14.019995873,2.1711083442,798.14002151,168.07695486,26.10499038,0.0002569163,0.0000717285,0.0000655397,0.0002062813,1.0421574246,0.2578349532,0.0000673061,6.9144215E-6,0.0010944227,0.0039862876,0.004564506,8.7699957E-6,0.004639121,2.3201558E-6,0.0051018891,2.3253236E-7,0.0019883106,0.0013084389,0.0001688572,0,0.0003271973,0.0023984652,8.2933025E-6,2.4080872E-6,1.3683509E-6,0,4.5347867E-6,2.0720174E-6,6.0830577E-7,3.2431003E-7,0,1.1509502E-6,1.8396052E-7,5.187096E-8,3.1178921E-8,0,1.0520776E-7
2004,3-Summer,ABUR,0.1334005376,0.5394489247,0.0262908152,0.0032240292,0.004102037,0.0189647489,1.7822580645,30.653870968,0.0075993636,0.0003523227,93,0.0580564323,0.0588389681,0.0516772078,0.0010409643,0.0003006944,0.0000136253,0.0209336334,0.001264663,0.0021071453,0,0.0052928021,0.0295982439,0.0004429648,0.0000383256,0.0000424084,0,0.0001177922,0.0001293401,0.0000111443,0.0000122777,0,0.0000340827,6.0073014E-6,4.9206631E-7,5.8310682E-7,0,1.5909446E-6,15.891023711,0.9608579586,777.85519173,173.82836261,35.903990398,0.002950061,0.0006295382,0.0006610685,0.0021000978,1.1421135406,0.150686051,0.0009255301,0.0000477454,0.0092757737,0.0469285678,0.0044532742,0.0001516063,0.0044961177,0.0000457034,0.0047883252,2.2733618E-6,0.0035610045,0.0009465382,0.0001085821,0,0.0002607735,0.0036512386,0.0000997549,0.000027934,5.1572064E-6,0,0.0000152943,0.000029719,8.0728702E-6,1.436363E-6,0,4.6864493E-6,1.4056718E-6,3.574149E-7,8.3349136E-8,0,2.3617837E-7
2004,4-Autumn,ABUR,0.1453472222,1.2285185185,0.0881309837,0.0183423422,0.0307701419,0.0390184996,1.516,28.863944444,0.0245327956,0.0010025969,90,0.0363988632,0.0357815128,0.0371646965,0.0027678321,0.000769843,0.0000338262,0.015999788,0.0023089421,0.0022405661,0.0000596193,0.0091864041,0.0297953196,0.0012386884,0.0001471399,0.0001747811,6.8503886E-6,0.0007360555,0.00034454,0.0000403686,0.0000486774,1.9364023E-6,0.0002049868,0.0000145671,1.7888159E-6,2.0566013E-6,7.8163099E-8,8.647539E-6,16.530485213,0.6720650607,585.69327554,139.61829795,35.323160746,0.0098269187,0.0022676931,0.0035364558,0.0042445443,1.0127931555,0.1293101005,0.0029637369,0.0001458194,0.0096982417,0.1129777292,0.0034981413,0.0003892023,0.0035982793,0.0001137307,0.0041506188,6.0864224E-6,0.0025386869,0.0012101366,0.0001134636,0.0000119353,0.0003350196,0.0028993626,0.0002470583,0.0000898555,0.0000197381,1.6971364E-6,0.00008022,0.0000695847,0.0000249578,5.2216153E-6,4.8566925E-7,0.0000239116,3.1253812E-6,1.0602997E-6,2.971757E-7,2.133155E-8,1.2220348E-6
